Preferred State,County,scholar,birthday_party,labs,preschool_prog,homeschool_prog,expiration_date,member_category,membership_year,member_threeplus,unknown_renewal_time,known_time_renewed,total_renewed_times,percent_late
Michigan,Ingham,0,0,0,0,0,12/31/2019,Elemental,11,1,0,10,10,0.1
Michigan,Eaton,0,0,0,0,0,12/31/2019,Family,9,1,0,8,8,0.875
Michigan,Ingham,0,0,0,0,0,8/31/2019,Family,7,1,0,6,6,0.333333333
Michigan,Eaton,0,1,0,0,0,8/31/2019,Family,5,1,0,4,4,0.5
Michigan,Ingham,0,0,0,0,0,4/30/2020,Family,10,1,0,9,9,0.444444444
Michigan,Ingham,0,0,0,0,0,1/31/2019,Family,10,1,0,9,9,0.111111111
Michigan,Ingham,0,0,0,0,0,10/31/2018,Family,8,1,0,7,7,0.285714286
Michigan,Ingham,0,0,0,0,0,8/31/2020,Elemental,8,1,1,6,7,0.571428571
Michigan,Ingham,0,0,1,0,0,6/30/2020,Family,8,1,0,7,7,0.142857143
Michigan,Ingham,0,0,0,0,0,5/31/2020,Family,5,1,0,4,4,1
Michigan,Ingham,0,0,0,0,0,7/31/2019,Family,1,0,0,0,0,0
Michigan,Ingham,0,1,0,0,0,6/30/2019,Family,2,0,0,1,1,1
Michigan,Ingham,0,0,0,0,0,4/30/2020,Elemental,10,1,0,9,9,0.444444444
Michigan,Ingham,0,0,0,0,0,4/30/2019,Family,4,1,0,3,3,0.666666667
Michigan,Ingham,0,0,0,0,0,2/29/2020,Family,10,1,0,9,9,0.555555556
Michigan,Eaton,0,0,0,0,0,12/31/2019,Family,5,1,0,4,4,0.5
Michigan,Clinton,0,0,1,0,0,6/30/2020,Family,3,1,0,2,2,1
Michigan,Ingham,0,0,0,0,0,7/31/2019,Family,7,1,0,6,6,0.833333333
Michigan,Ingham,0,0,0,0,0,4/30/2020,Family,9,1,0,8,8,0.375
Michigan,Ingham,0,0,0,0,0,8/31/2019,Family,3,1,0,2,2,1
Michigan,Ingham,0,0,1,0,0,8/31/2019,Family,10,1,0,9,9,0.333333333
Michigan,Ingham,0,0,0,0,0,8/31/2019,Elemental,9,1,0,8,8,0.75
Michigan,Ingham,0,0,0,0,0,9/30/2019,Elemental,7,1,0,6,6,1
Michigan,Ingham,0,0,0,0,0,4/30/2019,Elemental,6,1,0,5,5,0.6
Michigan,Ingham,1,0,0,0,0,6/30/2020,Family,10,1,0,9,9,0.888888889
Michigan,Ingham,0,0,0,0,0,8/31/2019,Elemental,2,0,0,1,1,1
Michigan,Ingham,0,0,0,0,0,6/30/2020,Family,6,1,0,5,5,1
Michigan,Clinton,0,0,0,0,0,1/31/2019,Enhanced,6,1,0,5,5,1
Michigan,Clinton,0,0,1,0,0,5/31/2020,Family,9,1,0,8,8,0.625
Michigan,Ingham,0,0,0,0,0,2/29/2020,Family,7,1,0,6,6,0.833333333
Michigan,Ingham,0,0,0,0,0,4/30/2019,Family,3,1,0,2,2,1
Michigan,Ingham,0,0,0,0,0,7/31/2020,Elemental,12,1,1,10,11,0.545454545
Michigan,Ingham,0,0,0,0,0,3/31/2019,Family,10,1,0,9,9,0.111111111
Michigan,Ingham,0,0,0,0,0,4/30/2020,Elemental,10,1,0,9,9,0.444444444
Michigan,Clinton,0,0,0,0,0,4/30/2019,Family,6,1,0,5,5,0.8
Michigan,Ingham,0,0,0,0,0,12/31/2019,Family,8,1,0,7,7,0.428571429
Michigan,Ingham,0,0,0,0,0,3/31/2019,Family,5,1,0,4,4,0.75
Michigan,Ingham,0,0,0,0,0,4/30/2020,Elemental,11,1,0,10,10,0.1
Michigan,Ingham,0,0,0,0,0,10/31/2018,Family,9,1,0,8,8,0.625
Michigan,Eaton,0,0,0,0,0,3/31/2019,Family,5,1,0,4,4,0.75
Michigan,Oakland,0,0,0,0,0,2/28/2019,Family,2,0,0,1,1,1
Michigan,Ingham,0,0,0,0,0,1/31/2019,Family,6,1,0,5,5,0.4
Michigan,Ingham,0,0,0,0,0,4/30/2020,Elemental,8,1,0,7,7,0.714285714
Michigan,Ingham,0,0,0,0,0,2/29/2020,Enhanced,2,0,0,1,1,1
Michigan,Isabella,0,0,0,0,0,1/31/2019,Family,5,1,0,4,4,0.25
Michigan,Ingham,0,0,0,0,0,4/30/2020,Family,9,1,0,8,8,0.5
Michigan,Genesee,0,0,0,0,0,6/30/2020,Family,8,1,0,7,7,0.714285714
Michigan,Ingham,0,0,0,0,0,2/29/2020,Family,6,1,0,5,5,0.6
Michigan,Ingham,0,0,0,0,0,7/31/2020,Family,9,1,0,8,8,1
Michigan,Ingham,0,0,0,0,0,2/29/2020,Family,8,1,0,7,7,1
Michigan,Shiawassee,0,0,0,0,0,2/28/2019,Family,5,1,0,4,4,0.5
Michigan,Ingham,0,0,1,0,0,11/30/2018,Family,6,1,0,5,5,1
Michigan,Ingham,0,0,0,0,0,4/30/2020,Family,5,1,0,4,4,0.75
Michigan,Ingham,0,0,0,0,0,2/29/2020,Enhanced,10,1,0,9,9,0.555555556
Tennessee,Knox,1,0,0,0,0,12/31/2018,Family,8,1,0,7,7,0.857142857
Michigan,Ingham,0,0,1,0,0,10/31/2019,Family,9,1,0,8,8,0.75
Michigan,Ingham,0,0,0,0,0,3/31/2020,Family,10,1,0,9,9,0.111111111
Michigan,Ingham,0,0,0,0,0,1/31/2019,Enhanced,8,1,0,7,7,0.857142857
Michigan,Ingham,0,0,0,0,0,8/31/2019,Enhanced,8,1,0,7,7,0.571428571
Michigan,Ingham,0,0,0,0,0,12/31/2019,Family,9,1,0,8,8,0.5
Michigan,Ingham,0,0,0,0,0,3/31/2020,Family,10,1,0,9,9,0.333333333
Michigan,Ingham,0,0,0,0,0,3/31/2019,Family,6,1,0,5,5,1
Michigan,Ingham,0,0,0,0,0,9/30/2019,Elemental,10,1,0,9,9,0
